ID,Species,Feather,B1,B2,B3,S1U,S1V,S1B,S1G,S1Y,S1R,S2,S3,S4,S5,S6,S7,S8,S9,S10,H1,H2,H3,H4,H5
UC19RR02,D. benghalense,Crown,3012.261703,7.511874571,20.81990909,0.074033958,0.082945239,0.114992207,0.224814337,0.262537699,0.592976454,27.67742831,0.338410626,0.81907007,1608.082137,20.06767486,-0.279515208,2.671460321,0.849060073,2.188113193,700,421,593,0.271132778,417
UC19RR02,D. benghalense,Mantle,4972.445998,12.40011471,30.075625,0.052308442,0.056306095,0.05218807,0.346334805,0.370647544,0.555564839,48.77912265,0.326482231,1.013913914,2996.809225,29.45905743,-0.687024255,2.375708461,0.914383761,2.408763864,696,421,540,0.472147651,417
UC19RR03,D. benghalense,Crown,3603.97998,8.987481248,26.64315152,0.093146562,0.102098502,0.094107129,0.174183071,0.244621107,0.645154033,29.69515339,0.366778288,0.723252252,2118.474004,25.74592929,-0.355248347,2.86464345,0.877643493,2.071859827,700,354,597,0.116589612,434
UC19RR03,D. benghalense,Mantle,4150.256211,10.34976611,23.60330303,0.06795293,0.073326329,0.068951172,0.3531891,0.359225096,0.516283592,26.2761299,0.282155438,0.572108108,2290.059742,22.70502375,-0.637382717,2.193771676,0.882273225,1.255074563,700,386,535,0.509800352,302
UC20RR02,D. benghalense,Crown,3928.306399,9.79627531,22.39533333,0.147831498,0.167278651,0.149450083,0.210732431,0.234296575,0.498912851,4.950612508,0.281800258,0.182972222,1524.366639,17.87158333,-0.060378563,1.824324324,0.769214486,0.333800676,700,406,596,0.151727415,594
UC20RR02,D. benghalense,Mantle,5938.563275,14.80938473,36.44627273,0.06381578,0.070814913,0.057896676,0.333758746,0.360089327,0.550915816,15.6252608,0.303838493,0.219755255,3455.689833,34.1137502,-0.635626248,2.303522451,0.918835373,0.506211164,700,418,544,0.445432908,530
UC20RR03,D. benghalense,Crown,3075.538357,7.669671712,23.35945455,0.052339088,0.059968383,0.092672163,0.208152111,0.271715798,0.653652823,206.1128342,0.371184024,0.575558559,1887.923171,23.24612121,-0.401785339,3.030914762,0.881908392,1.744468931,700,386,594,0.23529129,441
UC20RR03,D. benghalense,Mantle,4999.679221,12.46802798,28.69890909,0.068323653,0.075114957,0.066333767,0.345218413,0.362019771,0.526551342,22.42891579,0.286868016,0.756369369,2784.882274,27.41935954,-0.636936012,2.199173725,0.885867387,1.663387643,700,386,538,0.483135993,530
UC20RR05,D. benghalense,Crown,4305.591599,10.73713616,29.796,0.128307319,0.145156808,0.122360102,0.160760173,0.215795385,0.595033215,6.705524924,0.355824778,0.149619048,2167.606565,25.3525,-0.194071742,2.361197588,0.8363575,0.353280134,698,517,604,0.047964383,598
UC20RR05,D. benghalense,Mantle,4802.319176,11.97585829,27.971125,0.0925286,0.10447029,0.092178221,0.307815504,0.324485016,0.514007674,7.721971289,0.291743933,0.147148148,2385.698745,24.34884722,-0.455560839,2.033160933,0.854017409,0.299175866,699,458,552,0.416435112,521
UC20RR06,D. benghalense,Crown,4167.67534,10.39320534,19.87112121,0.196493948,0.225334516,0.200033433,0.19360905,0.199719411,0.41690779,2.978880853,0.234893021,0.251340591,1041.711225,13.20045455,0.149971625,1.270104276,0.623456912,0.319228759,700,419,602,-0.007645322,597
UC20RR06,D. benghalense,Mantle,6876.092739,17.14736344,34.28151515,0.130217042,0.149110872,0.133742733,0.292272836,0.295702643,0.450659208,4.610014294,0.247344538,0.205585085,2630.040762,26.84520087,-0.292795938,1.565558516,0.762387874,0.321855481,700,419,552,0.411721668,528
UC20RR07,D. benghalense,Crown,2262.194325,5.641382356,16.3575,0.111054209,0.126819817,0.10706613,0.171305099,0.234212279,0.617375018,13.25741479,0.374013483,0.670178679,1230.302315,15.12366216,-0.272841681,2.680843312,0.882776307,1.796644029,697,418,600,0.090343214,432
UC20RR07,D. benghalense,Mantle,4836.298795,12.0605955,24.62769697,0.137731862,0.156062192,0.125604682,0.288384086,0.292593955,0.455068932,5.724001507,0.251110214,0.736918919,1883.999764,20.32516544,-0.308019184,1.685253886,0.795532828,1.241895472,700,359,550,0.372477581,398
UC28RR01,D. benghalense,Crown,4847.064897,12.08744363,26.86983333,0.152374756,0.17563813,0.171710208,0.198214589,0.217839498,0.484674498,4.355666723,0.280043911,0.174916667,1693.098492,20.7008964,0.005737812,1.712595072,0.721257166,0.299561421,699,416,601,0.125993585,604
UC28RR01,D. benghalense,Mantle,6775.766298,16.89717281,36.61466667,0.121579604,0.137166329,0.112830393,0.276346505,0.299702287,0.496095886,5.563341226,0.271739378,0.212837838,2985.159303,30.03325,-0.293874046,1.777412727,0.815936945,0.378300682,700,373,566,0.330351321,533
UD30RR01,D. benghalense,Crown,4164.567635,10.38545545,30.9875,0.115083425,0.130999712,0.109669405,0.153766968,0.215949378,0.627903357,10.03015948,0.385075897,0.671531532,2283.712796,27.89806757,-0.259900129,2.686263275,0.868720384,1.803910491,697,386,604,0.052877311,601
UD30RR01,D. benghalense,Mantle,3919.627734,9.774632753,21.33716667,0.126721533,0.142228808,0.114982698,0.287578923,0.29760998,0.477242133,5.999625091,0.276443012,0.226916667,1657.251552,17.78075,-0.314604215,1.8190709,0.817468841,0.412777505,698,425,557,0.364879033,526
UD30RR03,D. benghalense,Crown,4187.723212,10.44320003,26.25733333,0.152340214,0.17267157,0.143161842,0.169420058,0.208423287,0.541555926,5.125437845,0.323539343,0.14437037,1796.616243,21.13438889,-0.07936016,2.023746441,0.799142482,0.292169023,698,448,605,0.028246612,607
UD30RR03,D. benghalense,Mantle,9482.353186,23.64676605,42.30411111,0.148567248,0.166733343,0.119965073,0.31720045,0.307412958,0.420982046,4.570132777,0.247601373,0.716684685,3506.630917,33.04746296,-0.378856891,1.397546831,0.775788096,1.00160041,695,376,533,0.444485561,528
UD30RR04,D. benghalense,Crown,3977.499495,9.918951358,17.77590909,0.195232126,0.22364758,0.198681912,0.218298385,0.21586513,0.395002028,2.859573757,0.219919746,0.65915015,926.4354379,11.55962981,0.154389716,1.165408458,0.60858594,0.76817916,700,415,596,0.105836421,411
UD30RR04,D. benghalense,Mantle,5934.851211,14.80012771,31.42783333,0.105556206,0.118372392,0.089906163,0.328810469,0.332499759,0.48230121,8.882259108,0.27250678,0.748814815,2809.91578,27.88956306,-0.509214054,1.884413676,0.857312415,1.411076878,698,427,537,0.456957388,317
UE01RR01,D. benghalense,Crown,1952.168959,4.868251769,19.87358586,0,0,0.006244539,0.139058958,0.272868973,0.860455628,Inf,0.545974785,0.256291667,1735.737781,19.87358586,-0.75859466,4.082283909,1,1.046255347,695,697,601,0.127851328,586
UE01RR01,D. benghalense,Mantle,4485.745138,11.18639685,26.81592929,0.02594766,0.025991911,0.068431327,0.356632398,0.370976709,0.555535563,Inf,0.330944484,0.538598625,2745.815675,26.81592929,-0.705715396,2.397190949,0.872828245,1.291123749,695,315,537,0.540834441,307
UE01RR02,D. benghalense,Crown,6774.312134,16.89354647,25.07052778,0.329587729,0.382087539,0.252975759,0.157178308,0.142207696,0.267642167,2.711279241,0.300179957,1.338722222,1169.408292,15.8237754,0.529099384,0.936675755,0.40296754,1.253948649,417,427,618,-1.330628632,332
UE01RR02,D. benghalense,Mantle,8689.978569,21.6707695,31.41133333,0.253981638,0.293168222,0.191993717,0.233218228,0.22355292,0.327948211,3.414773792,0.178951806,1.265342593,1443.846078,22.21267619,-0.895072067,1.025006343,0.609320061,1.296984183,700,427,323,-0.14590603,338
UE01RR03,D. benghalense,Crown,5109.501968,12.74190017,27.1639375,0.174991558,0.197504761,0.160473694,0.198910478,0.224972715,0.472644483,4.127800201,0.269553908,0.883488488,1770.030009,20.58320777,-0.006944761,1.615395467,0.733472019,1.427183299,699,421,596,0.056964907,417
UE01RR03,D. benghalense,Mantle,5816.483082,14.50494534,32.027875,0.083402369,0.091946118,0.069718148,0.348644144,0.352814815,0.504630634,12.00096587,0.296230809,0.755126126,3078.880187,29.35910023,-0.612126529,2.024075206,0.894432694,1.528432069,696,372,534,0.488441045,522
UE01RR04,D. benghalense,Crown,3534.228156,8.813536549,22.751,0.12051051,0.138264549,0.128796367,0.199995359,0.239251931,0.557479167,7.161454925,0.329734739,0.169990741,1650.702648,19.57413158,-0.166136317,2.220916822,0.829967815,0.377535296,698,448,598,0.15435411,607
UE01RR04,D. benghalense,Mantle,5540.170643,13.81588689,27.05,0.126807832,0.143420628,0.130114141,0.310124409,0.302729788,0.439711366,4.584400422,0.250417034,0.155418919,2137.72839,21.14955556,-0.36341898,1.53081418,0.760969714,0.237917485,698,383,540,0.47164376,530
UE02RR01,D. benghalense,Crown,4185.326481,10.43722314,28.71033333,0.129450487,0.147263343,0.126938822,0.165120985,0.216223967,0.585020478,7.661518674,0.350235678,0.706097914,2049.295192,24.96299099,-0.181787915,2.391727248,0.834636114,1.68879362,698,305,603,0.058030124,398
UE02RR01,D. benghalense,Mantle,5135.03297,12.8055685,28.60318182,0.102467018,0.116840028,0.108531571,0.295278317,0.314916045,0.500605793,8.260750014,0.275510639,0.655515015,2376.122071,25.14064128,-0.399884848,1.963258505,0.835215173,1.286945428,700,418,554,0.40062091,380
UE07RR02,D. benghalense,Crown,8665.156961,21.60887023,32.35405556,0.32302334,0.375088837,0.24036685,0.145102972,0.13976234,0.298782084,3.129200491,0.291166218,1.379740741,1679.855617,22.01465556,0.42843535,1.018778646,0.509178874,1.405650404,418,427,610,-1.125812769,472
UE07RR02,D. benghalense,Mantle,9395.616349,23.43046471,33.26333333,0.316844991,0.367049868,0.236933147,0.186835818,0.171346751,0.266789934,2.894227869,0.283295817,1.59487037,1314.986786,21.77034286,0.425080841,0.929146866,0.424409042,1.481868806,418,427,596,-1.153088763,472
UE07RR04,D. benghalense,Crown,3669.398742,9.150620305,19.8975,0.151333966,0.174811169,0.172764428,0.209888159,0.22576265,0.473074354,4.437947793,0.277474199,0.219157407,1245.618582,15.41400877,0.000990385,1.684476927,0.711315006,0.369165596,698,410,597,0.167554069,595
UE07RR04,D. benghalense,Mantle,4913.939279,12.25421266,25.04383333,0.137045192,0.154237568,0.126013745,0.289113714,0.294504634,0.454526531,4.774455826,0.26057235,0.148954955,1911.134277,19.7984537,-0.292276423,1.615644697,0.77813809,0.240658283,698,376,553,0.376472939,530
UE09RR01,D. benghalense,Crown,3672.23333,9.157689103,25.5795625,0.106942187,0.125101118,0.131588162,0.179168368,0.222072982,0.588883485,10.96131535,0.360488948,0.887012802,1815.055671,23.24594088,-0.197269128,2.538406864,0.827131416,2.251599386,697,305,602,0.13517367,390
UE09RR01,D. benghalense,Mantle,3536.796184,8.81994061,25.37254545,0.108888139,0.123282252,0.119220212,0.170574174,0.223404392,0.607865823,13.17450073,0.351326024,0.89440991,1848.620742,23.44666257,-0.235774195,2.658369666,0.848976451,2.377672173,700,305,602,0.10282262,422
UE09RR02,D. benghalense,Crown,4222.965258,10.53108543,31.05015152,0.123284618,0.141428272,0.11352453,0.149334505,0.210976057,0.620304113,8.597930301,0.361689214,0.614086297,2262.001519,27.43879966,-0.236557898,2.605505372,0.872665976,1.600005145,700,305,605,0.031172863,349
UE09RR02,D. benghalense,Mantle,6453.510032,16.09354123,29.86957576,0.152410288,0.175414899,0.161982425,0.285431878,0.271190526,0.407199361,3.555040187,0.225807922,0.69537037,1990.562257,21.46753972,-0.195029402,1.333922685,0.701499809,0.927570311,700,427,549,0.43350102,390
UF01SS02,D. psarodes,Crown,1462.682991,3.647588507,13.75839394,0.006277196,0.006277196,0.070678759,0.191465005,0.257886974,0.737292141,Inf,0.482021261,0.345712963,1056.539832,13.75839394,-0.469880643,3.771915037,0.94197292,1.303999924,695,473,605,0.245224569,515
UF01SS02,D. psarodes,Mantle,3753.849147,9.361219817,30.22843434,0.048301617,0.051853635,0.105639805,0.193741186,0.240258386,0.658112458,97.44594465,0.426783385,0.67525,2261.262015,29.91822714,-0.328662288,3.195975281,0.857108836,2.158082309,695,406,603,0.23271222,347
UF01SS03,D. psarodes,Crown,2639.683477,6.582751814,13.49884848,0.181026099,0.2069974,0.188432359,0.201418083,0.204213604,0.435906999,3.482575215,0.318156331,0.822888889,743.6898049,9.622737374,0.124905117,1.461810751,0.682505116,1.202907825,685,410,604,0.075747543,369
UF01SS03,D. psarodes,Mantle,4125.137358,10.28712558,22.03293939,0.197152009,0.227048327,0.177740341,0.178382716,0.19795951,0.453522519,4.116254713,0.260798385,0.85862037,1265.637596,16.68027273,0.082941226,1.621470701,0.735468459,1.392227774,700,410,603,-0.069682144,379
UF01SS05,D. psarodes,Crown,2372.661257,5.916860989,21.93337374,0.015012483,0.015125939,0.058572258,0.160986789,0.247454294,0.771099298,Inf,0.494259185,0.460027027,1791.666483,21.93337374,-0.55626103,3.706927335,0.91942983,1.705286761,695,394,603,0.175992859,602
UF01SS05,D. psarodes,Mantle,3458.899889,8.625685508,28.49,0.074148942,0.081569572,0.09415611,0.165974925,0.228128152,0.671665741,22.88234288,0.399575895,0.592333333,2122.421938,27.24493519,-0.339056542,3.158582024,0.885485485,1.870933419,700,388,605,0.134387314,386
UF02SS01,D. psarodes,Crown,3231.892048,8.059581166,24.47482828,0.116661681,0.132966728,0.118789716,0.148892406,0.200955476,0.621681083,9.379951384,0.402355116,0.579212963,1717.361765,21.86555801,-0.207734727,2.712989368,0.854952416,1.57139861,695,412,609,0.0476699,347
UF02SS01,D. psarodes,Mantle,4804.451591,11.98117604,36.30824242,0.121682507,0.138590381,0.124990182,0.155961502,0.203045433,0.603511939,7.347367776,0.362437893,0.6495,2439.67453,31.36657576,-0.154841183,2.617988055,0.848325431,1.700383242,700,428,611,0.054757313,594
UF02SS03,D. psarodes,Crown,3893.160505,9.708629688,27.88966667,0.10562712,0.120097449,0.127418128,0.174685215,0.220749753,0.598780288,11.25212812,0.36179476,0.635867868,1977.295551,25.41105405,-0.209453856,2.617367731,0.837425058,1.664300038,698,415,603,0.124832786,432
UF02SS03,D. psarodes,Mantle,4340.745723,10.8248023,38.02545833,0.06950918,0.07833499,0.074933174,0.135489897,0.219856192,0.72610938,32.89015028,0.451519093,0.688882883,2957.950727,36.8693232,-0.447706289,3.406004301,0.927451639,2.346338062,697,359,605,0.077015734,601
UF02SS04,D. psarodes,Crown,2951.008754,7.359124076,20.06339394,0.120758915,0.138688183,0.156261283,0.197395798,0.217974849,0.532129234,8.24862023,0.317171122,0.78334661,1228.009621,17.63106061,-0.038055796,2.395809668,0.790942279,1.876749381,700,305,608,0.180254062,390
UF02SS04,D. psarodes,Mantle,4548.84784,11.3437602,29.14683333,0.139352984,0.160567273,0.14728331,0.177652482,0.215052166,0.542310392,5.712986442,0.324470877,0.892786787,1947.193618,24.04497748,-0.088418006,2.11966553,0.800343954,1.892409378,698,415,604,0.077680357,317
UF03SS01,D. psarodes,Crown,8770.764926,21.87223174,32.77233333,0.33893997,0.392180943,0.256657136,0.1607794,0.142898662,0.251071083,2.670662331,0.304213912,1.148009259,1528.772553,20.50109524,0.650841614,0.937311541,0.322335455,1.076042328,418,428,636,-1.449201248,315
UF03SS01,D. psarodes,Mantle,8687.395121,21.66432698,32.81009091,0.306841759,0.35717209,0.229002008,0.147183661,0.150784477,0.32435184,3.359804506,0.183862047,1.174981481,1734.185551,23.04461472,0.343815734,1.063712468,0.563801766,1.249842451,700,428,603,-0.92058554,332
UC12RR02,D. psarodes,Crown,2223.250768,5.544266255,16.04869697,0.122081544,0.139602018,0.120706589,0.162312822,0.21464949,0.601098804,11.82275454,0.350720264,0.698370621,1136.56093,14.69125553,-0.206191861,2.649810607,0.839511604,1.850549878,700,390,604,0.062957376,402
UC12RR02,D. psarodes,Mantle,3277.399487,8.173066052,25.2140625,0.099247295,0.10995647,0.094568103,0.160220247,0.226421348,0.652170457,16.85421554,0.399849647,0.616795796,1932.545202,23.71805324,-0.325268524,2.901977433,0.886058674,1.78992748,697,390,602,0.084996071,386
UC14RR01,D. psarodes,Crown,2370.488604,5.911442904,18.0335,0.115105338,0.13028753,0.107574712,0.150132112,0.215175564,0.63346445,8.61453878,0.383738341,0.187809524,1316.432813,15.94012037,-0.262741996,2.69648555,0.871291257,0.506425667,698,517,605,0.044579613,597
UC14RR01,D. psarodes,Mantle,5873.792559,14.64786174,31.272625,0.181746809,0.206270398,0.172920189,0.190157731,0.20814194,0.461941115,3.560315548,0.268328962,0.169693694,1887.33702,22.48895833,0.065748256,1.535306567,0.705257897,0.260531842,699,377,603,0.021169067,603
UC14RR04,D. psarodes,Crown,6146.764162,15.32858893,22.00829293,0.296314215,0.343645617,0.234125051,0.163971249,0.1575083,0.312861104,2.613719865,0.19302992,0.848296296,1029.260289,13.58799769,0.371796359,0.886448045,0.509403191,0.751970593,695,420,604,-0.88385852,424
UC14RR04,D. psarodes,Mantle,6678.336477,16.65420568,25.01772917,0.299281974,0.345430137,0.228526221,0.157335121,0.153596629,0.321969188,2.878626211,0.186524515,0.93462963,1229.284629,16.32687202,0.363570595,0.980345286,0.539978013,0.916259751,699,427,606,-0.859346174,338
UC27RR01,D. psarodes,Crown,4509.181096,11.24484064,30.83916667,0.134373291,0.152688876,0.132868558,0.156946849,0.204663568,0.582147466,6.072909921,0.350416316,0.17868018,2160.720385,25.76101351,-0.152568696,2.290918506,0.824038008,0.409341731,698,418,606,0.034175514,604
UC27RR01,D. psarodes,Mantle,5086.324679,12.68410144,37.38116667,0.123925616,0.14137608,0.120816413,0.145941936,0.201236874,0.615488073,7.274784167,0.375068697,0.206787037,2659.546822,32.24270952,-0.202852784,2.541978213,0.848868773,0.525648143,698,445,608,0.027551974,604
UC29RR01,D. psarodes,Crown,4227.651844,10.54277268,28.06072727,0.130790755,0.146604904,0.124874021,0.173889901,0.223906948,0.576782092,9.727272443,0.330525484,0.67803003,2050.358123,25.17597952,-0.188894737,2.387984669,0.826289447,1.619125317,700,418,600,0.073201577,601
UC29RR01,D. psarodes,Mantle,3438.699408,8.575310244,26.77222917,0.080573178,0.089749392,0.085329826,0.174674256,0.2506973,0.666025994,29.18366456,0.403145854,0.648243717,2126.23756,25.8548588,-0.398753141,3.015034799,0.890398343,1.954477366,697,305,597,0.129794457,355
UE07RR05,D. psarodes,Crown,2793.057413,6.965230455,21.83833333,0.086541828,0.098864387,0.098645653,0.160533941,0.227775101,0.660632394,28.53743098,0.397446954,0.717912913,1666.527906,21.07308108,-0.350644673,3.025467889,0.889948128,2.172022465,698,415,601,0.106998002,362
UE07RR05,D. psarodes,Mantle,4542.961021,11.32907985,27.3701875,0.146992711,0.166835771,0.158284655,0.20187033,0.220942034,0.499501181,5.665369622,0.306510898,0.700171171,1717.68218,22.53904861,-0.024344432,1.989486252,0.757607548,1.392980919,697,386,601,0.138368461,398
UC20RR04,Hybrid,Crown,4312.023334,10.7531754,26.99921212,0.117471733,0.136318708,0.145112333,0.196327107,0.235493524,0.548108714,6.514644891,0.31000781,0.183513514,1910.61066,22.85482473,-0.154970703,2.125402394,0.787956775,0.390040061,700,418,597,0.163952723,594
UC20RR04,Hybrid,Mantle,5320.638325,13.26842475,25.9720303,0.149532896,0.169167339,0.155392594,0.259991078,0.266724766,0.442017785,3.886719339,0.24369044,0.194708709,1800.79964,19.2897803,-0.109333749,1.453810883,0.709887339,0.28306964,700,418,573,0.317092492,594
UC20RR08,Hybrid,Crown,8510.484242,21.22315272,30.64477083,0.288243328,0.33639393,0.240297432,0.173054245,0.16114548,0.305773165,2.600391418,0.177315365,1.206027778,1238.942506,18.86009464,-0.936278663,0.888656595,0.499856392,1.071744539,699,427,313,-0.874343186,370
UC20RR08,Hybrid,Mantle,9269.303389,23.1154698,32.21797917,0.301559624,0.348899237,0.231654676,0.170902523,0.163148535,0.303135996,2.672654052,0.173884468,1.159342593,1501.878534,20.16330298,0.366629659,0.872286099,0.502326127,1.011278427,699,427,599,-0.915313252,370
UC28RR02,Hybrid,Crown,4211.56739,10.50266182,31.77451515,0.1077012,0.120978911,0.098701523,0.15159469,0.222082925,0.648272969,10.10402383,0.374593896,0.197039039,2441.870492,28.62977641,-0.30913366,2.725954325,0.878532984,0.537119421,700,418,603,0.056498923,603
UC28RR02,Hybrid,Mantle,4024.108468,10.03518321,31.03391667,0.09812219,0.109753379,0.081368813,0.168962231,0.246883916,0.658005931,12.56058206,0.385879641,0.23654955,2452.848972,28.56317793,-0.365191836,2.846303583,0.909710245,0.67329183,699,368,599,0.091394955,594
UC29RR04,Hybrid,Crown,5704.879743,14.22663278,27.0930625,0.255658094,0.296422423,0.200815756,0.153091033,0.164823222,0.39742672,4.203982004,0.234782644,0.855092593,1401.439543,20.64844345,0.219348459,1.451393578,0.688274812,1.241075898,699,420,607,-0.432282748,424
UC29RR04,Hybrid,Mantle,5421.68349,13.5204077,27.19514583,0.223230857,0.258663722,0.169372548,0.184751463,0.20826493,0.429690811,5.617737419,0.25014066,0.76241041,1578.139641,22.35420298,0.073613736,1.653367521,0.75775611,1.260544611,699,375,594,-0.153748093,370
UC30RR01,Hybrid,Crown,3901.099069,9.728426605,23.542,0.141936736,0.162362994,0.158074749,0.189937431,0.218641516,0.516777891,4.554575215,0.307075499,0.11827027,1538.160555,18.37313158,-0.044777713,1.888602579,0.755966161,0.223365537,698,386,603,0.112842792,598
UC30RR01,Hybrid,Mantle,5020.484338,12.51991107,30.025,0.132212371,0.148911738,0.12184344,0.22629159,0.262600187,0.526340732,5.744233093,0.307996338,0.139072072,2235.084466,24.79801852,-0.174471857,1.980686475,0.81701616,0.275458172,698,344,589,0.190578627,588
UD23RR01,Hybrid,Crown,3750.382118,9.352573861,22.03624242,0.166458402,0.191738904,0.17422458,0.178091445,0.199821534,0.487929177,4.25980252,0.28295423,0.178962963,1293.968417,16.86317576,0.041830325,1.803051867,0.732750027,0.322679504,700,448,607,0.028144628,597
UD23RR01,Hybrid,Mantle,5266.868919,13.13433646,25.18257576,0.15385175,0.175311886,0.147233839,0.275558374,0.277702456,0.430209115,4.037129509,0.236645758,0.209462963,1770.783294,18.9448329,-0.191410773,1.442389797,0.7283395,0.302127241,700,447,558,0.347893194,521
UE07RR01,Hybrid,Crown,2864.50253,7.143397829,20.63087879,0.122014197,0.137682855,0.117166903,0.156380311,0.214054108,0.61076279,10.39089036,0.386769532,0.747,1502.11296,18.64540131,-0.233562588,2.610158605,0.849208838,1.949788478,695,394,603,0.049857501,424
UE07RR01,Hybrid,Mantle,4751.878384,11.85007078,29.61659596,0.092799734,0.102505821,0.087752445,0.272373842,0.3117683,0.553624019,10.57934982,0.337434678,0.641796797,2497.434424,26.81712374,-0.381098216,2.263034899,0.867957529,1.452408549,695,374,572,0.318425381,392
UE07RR03,Hybrid,Crown,2888.7394,7.203838902,22.68663636,0.077899978,0.087895661,0.088196713,0.170332957,0.243818964,0.670075046,35.17504486,0.384634587,0.96684985,1789.581803,22.0416724,-0.388889331,3.059712009,0.896230312,2.958282096,700,415,599,0.128984462,317
UE07RR03,Hybrid,Mantle,7174.362735,17.89117889,36.34339583,0.166038441,0.186601754,0.152099616,0.236037644,0.249215993,0.452645479,4.158158978,0.26696601,0.716045045,2444.084434,27.60313457,-0.04965526,1.542834865,0.731465329,1.104739261,697,341,584,0.193042455,336