Identification_II,Scientific name,color,feathers,% beta-cryptoxanthin ident,% canthaxanthin ident,%adonixanthin ident,%canary-xanthophyll B ident,%papilioerythrinone ident,%canary-xanthophyll A ident,%astaxanthin ident,%3'-dehydro-lutein ident,%alpha- doradexanthin ident,% lutein ident,%zeaxanthin ident,lutein ident__concentration,zeaxanthin _concentration,beta-cryptoxanthin_concentration,3'-dehydro-lutein ident__concentration,canary-xanthophyll A_concentration,canary-xanthophyll B_concentration,canthaxanthin_concentration,alpha- doradexanthin_concentration,astaxanthin_concentration,adonirubin_concentration,papilioerythrinone_concentration,avg 4-keto_groups,avg 3-oxygenation,avg epsilon rings
UC20RR03,Dinopium benghalense jaffnense,red,Crown,0.3,1.7,15.7,0,6.2,0,70.7,0,5.4,1.841085271,0,8.13481481,0,1.3,0,0,0,7.4,23.5,306.6,67.9,27.1,1.843023256,1.810077519,0.134410853
UC20RR06,Dinopium benghalense jaffnense,red,Crown,0.2,0.8,6.8,0,2.2,0,81.6,0,8.5,0.610997963,0,2.98605405,0,1.1,0,0,0,3.8,41.2,396.1,33,10.5,1.877615256,1.914645436,0.11310998
UC20RR07,Dinopium benghalense jaffnense,red,Crown,0.1,0.8,10.2,0,5.1,0,79.4,0,4.5,1.856919468,0,9.18705882,0,0.4,0,0,0,3.7,21.9,385.8,49.3,24.6,1.86747459,1.884675528,0.114569195
UD30RR01,Dinopium benghalense jaffnense,red,Crown,0.1,0.6,12.1,0,2.4,0,81.3,0,2.3,1.1,0,3.8,0,0.3,0,0,0,2.1,7.8,271.8,40.5,7.9,1.921088702,1.865870374,0.058
UD30RR04,Dinopium benghalense jaffnense,red,Crown,0.1,0.7,11.6,0,5.7,0,77.3,0,4.7,0.879593432,0,4.698,0,0.6,0,0,0,3.8,24.7,409,61.3,30,1.87763878,1.870015637,0.112795934
UE01RR02,Dinopium benghalense jaffnense,red,Crown,0.1,0.2,5.2,0,1.9,0,86.1,0,6.5,0.942151875,0,3.98709677,0,0.2,0,0,0,1,27.2,360.8,21.8,8.1,1.896551724,1.943094027,0.093421519
UE02RR01,Dinopium benghalense jaffnense,red,Crown,0.1,0.7,12.5,0,4.2,0,79.5,0,2.9,1.385442514,0,1.48430769,0,0.1,0,0,0,0.7,3.1,84,13.2,4.5,1.899503722,1.862076096,0.084854425
UE07RR02,Dinopium benghalense jaffnense,red,Crown,0.1,0.3,5,0,3.2,0,87.5,0,4,1.482044461,0,7.57028571,0,0.3,0,0,0,1.3,20,440.5,24.9,16.2,1.89834695,1.94565837,0.086820445
UE09RR02,Dinopium benghalense jaffnense,red,Crown,0.1,0.4,8.1,0,3,0,84.4,0,4.1,1.472253681,0,10.3584,0,0.4,0,0,0,2.7,28.6,585,56.2,20.5,1.899773499,1.91204228,0.085722537
UC19RR02,Dinopium benghalense jaffnense,yellow,Mantle,3.6,0,0,2.9,0,1.1,0,40.2,0,0.862234144,10,0,22.5,8.1,90.4,2.5,6.4,0,0,0,0,0,0,1.963938974,0.088622341
UC19RR03,Dinopium benghalense jaffnense,yellow,Mantle,6.2,0,0,2.5,0,1.1,0,44.3,0,3.238704518,7.1,10.60695,6.4,5.6,39.9,1,2.2,0,0,0,0,0,0,1.938179093,0.104387045
UC20RR02,Dinopium benghalense jaffnense,yellow,Mantle,5.9,0,0,1.3,0,0.7,0,24.4,0,3.051422113,8.3,27.95207767,29.9,21.2,88.2,2.5,4.8,0,0,0,0,0,0,1.941276757,0.070514221
UC20RR03,Dinopium benghalense jaffnense,yellow,Mantle,6.4,0,0,1.4,0,0.8,0,29,0,6.899926597,8.7,12.972,16.7,12.2,55.6,1.6,2.7,0,0,0,0,0,0,1.936305732,0.112999266
UC20RR05,Dinopium benghalense jaffnense,yellow,Mantle,13.3,0,0,2.8,2,1.5,0,43,0,30.9,6.4,119.2,24.5,51.1,165.9,5.8,10.9,0,0,0,0,7.9,0.020487987,1.86738685,0.415
UC20RR06,Dinopium benghalense jaffnense,yellow,Mantle,11.2,1.8,0,5.4,0,3.5,0,33,0,36.3,8.9,26.5,6.5,8.2,24.1,2.5,3.9,1.3,0,0,0,0,0.035907419,1.852260437,0.541
UC20RR07,Dinopium benghalense jaffnense,yellow,Mantle,4.5,0.4,0,1.5,0.7,2.1,0,12.3,0,70.9,7.7,212.6,23,13.4,36.8,6.3,4.5,1.2,0,0,0,2.1,0.014928193,1.947278912,0.788
UC28RR01,Dinopium benghalense jaffnense,yellow,Mantle,6.9,1.4,0,2.9,4.7,2.4,0,32,0,41.4,8.4,82.3,16.7,13.7,63.7,4.7,5.8,2.9,0,0,0,9.3,0.07546447,1.902317564,0.567
UD30RR01,Dinopium benghalense jaffnense,yellow,Mantle,10.3,1,0,1,0,0.5,0,33.5,0,42.6,11.1,97.2,25.3,23.5,76.5,1.2,2.2,2.4,0,0,0,0,0.020587114,1.876477316,0.456
UD30RR03,Dinopium benghalense jaffnense,yellow,Mantle,4.9,0,0,3.6,0,1.9,0,36.6,0,45,8.1,84.7,15.3,9.2,68.9,3.5,6.7,0,0,0,0,0,0,1.951110245,0.56
UD30RR04,Dinopium benghalense jaffnense,yellow,Mantle,3.1,0.5,0,1.1,0,0.6,0,20.8,0,66.5,7.5,110.9,12.4,5.2,34.6,1,1.8,0.8,0,0,0,0,0.009415173,1.959442332,0.699
UE01RR01,Dinopium benghalense jaffnense,yellow,Mantle,9.6,1.5,0,1.1,0,1.7,0,20.8,0,57.5,7.8,124.3,16.7,20.8,45,3.7,2.3,3.2,0,0,0,0,0.030094044,1.873772205,0.631
UE01RR02,Dinopium benghalense jaffnense,yellow,Mantle,3.1,1.9,0.7,0.4,0,1.7,0,12.8,0,71.5,7.9,133.5,14.8,5.8,23.8,3.2,0.8,3.6,0,0,1.2,0,0.051282051,1.924019608,0.757
UE01RR03,Dinopium benghalense jaffnense,yellow,Mantle,3.3,0,0,2,0,1.4,0,24.8,0,61.3,7,101,11.6,5.5,40.9,2.4,3.4,0,0,0,0,0,0,1.966705158,0.681
UE01RR04,Dinopium benghalense jaffnense,yellow,Mantle,1.1,0,0,1.4,0,1.5,0,18.6,0,69.3,8.1,140.4,16.5,2.2,37.6,3,2.9,0,0,0,0,0,0,1.989179104,0.751
UE02RR01,Dinopium benghalense jaffnense,yellow,Mantle,4.7,1.3,0.3,0.9,1.7,1.8,0,11.6,3.1,66.8,7.7,182.2,20.9,12.9,31.7,5,2.6,3.6,8.5,0,0.7,4.7,0.079883805,1.923565723,0.77
UE07RR02,Dinopium benghalense jaffnense,yellow,Mantle,4.9,0.9,0.4,1,5.1,1,0,31.4,0,45.8,9.5,104.1,21.6,11.1,71.4,2.3,2.3,2,0,0,1,11.6,0.078104514,1.928825623,0.549
UE07RR04,Dinopium benghalense jaffnense,yellow,Mantle,4.7,0.6,0.4,1.1,2.6,0.6,0,27.1,0,55,8,167.3,24.3,14.3,82.2,1.9,3.2,1.8,0,0,1.1,7.8,0.044995409,1.937190083,0.61
UE09RR02,Dinopium benghalense jaffnense,yellow,Mantle,6,0,0,1.8,0,2,0,34.5,0,46.2,9.6,112.5,23.3,14.7,84.1,4.8,4.3,0,0,0,0,0,0,1.939720559,0.538
UF01SS02,Dinopium psarodes  ,red,Mantle,0.4,0.8,39.3,0,2.7,0,52.7,0,4.2,1.160799239,0,3.92528859,0,1.2,0,0,0,2.5,14,176.3,131.2,9,1.901427212,1.593529971,0.080607992
UF01SS03,Dinopium psarodes  ,red,Crown,0.4,1.7,8.5,0,6.9,0,73.4,0,9.3,3.407576623,0,16.65842553,0,1.7,0,0,0,7.9,43.8,346.5,39.9,32.4,1.769084333,1.882543309,0.196075766
UF01SS03,Dinopium psarodes  ,red,Mantle,0.2,0.8,15.4,0,1.5,0,78.9,0,3.2,1.031877649,0,1.42051485,0,0.3,0,0,0,1,4.4,107.5,21,2.1,1.928321356,1.830108716,0.057318776
UF01SS05,Dinopium psarodes  ,red,Mantle,0.4,2,6.3,0,4.1,0,79.2,0,8,1.341341341,0,3.73650867,0,1.1,0,0,0,5.6,22,217.7,17.3,11.2,1.846446446,1.893893894,0.134413413
UF02SS01,Dinopium psarodes  ,red,Crown,0.2,0.7,5.3,0,1.2,0,90.3,0,2.4,1.652125487,0,12.6024,0,1.1,0,0,0,5,17.7,677.7,40.1,8.6,1.929459811,1.93298682,0.052521255
UF02SS01,Dinopium psarodes  ,red,Mantle,0.2,1.3,3.1,0,7.6,0,75.2,0,12.6,2.486858067,0,7.97908235,0,0.6,0,0,0,4.1,39.5,235.4,9.6,23.7,1.749696725,1.942782046,0.226868581
UF02SS03,Dinopium psarodes  ,red,Crown,0.2,1.7,9.9,0,1.2,0,75.5,0,3.4,5.090116855,0,13.35340206,0,0.5,0,0,0,4.7,9.1,204.6,26.9,3.2,1.847494553,1.860170331,0.096901169
UF02SS03,Dinopium psarodes  ,red,Mantle,0.3,2,6.5,0,2.1,0,80.8,0,8.3,1.414837656,0,2.7027,0,0.5,0,0,0,3.7,15.7,152.1,12.2,4,1.86323236,1.894068565,0.118148377
UF02SS04,Dinopium psarodes  ,red,Mantle,0.2,1.3,4.8,0,2.4,0,85.4,0,5.8,1.972827098,0,5.12383099,0,0.5,0,0,0,3.3,14.9,217.5,12.2,6.1,1.875860785,1.925367579,0.101728271
UF03RR01,Dinopium psarodes  ,red,Crown,0.5,0.6,4.5,0,1.3,0,77.9,0,3.9,7.147147147,0,11.9952,0,0.8,0,0,0,1.1,6.9,136.8,8,2.3,1.792392392,1.934734735,0.123471471
UF03RR01,Dinopium psarodes  ,red,Mantle,0.4,1.1,5.4,0,2.7,0,75.9,0,5.3,2.374188312,0,2.0241,0,0.4,0,0,0,1,4.9,69.5,4.9,2.5,1.857142857,1.913758117,0.103741883
UC12RR02,Dinopium psarodes  ,red,Crown,0.8,4.8,59.4,0,1.8,0,30.7,0,2.6,3.944265809,0,27.62453333,0,0.8,0,0,0,4.9,2.7,31.7,61.3,1.8,1.940537555,1.302835052,0.083442658
UC12RR02,Dinopium psarodes  ,red,Mantle,0.6,1.3,37,0,2,0,54.6,0,4.5,4.7245719,0,17.79657143,0,2.1,0,0,0,4.4,15.4,185.3,125.4,6.7,1.922507319,1.598071293,0.112245719
UC14RR01,Dinopium psarodes  ,red,Mantle,0.4,2.5,10.3,0,7.2,0,64.3,0,8.4,2.67281106,0,5.16313725,0,0.9,0,0,0,5.1,16.9,129.8,20.9,14.5,1.774746544,1.834654378,0.182728111
UC14RR04,Dinopium psarodes  ,red,Crown,0.1,0.3,4.5,0,6.7,0,82,0,6.3,1.668228679,0,8.84378947,0,0.5,0,0,0,1.8,33.1,427.6,23.3,35.1,1.836176195,1.948453608,0.146682287
UC14RR04,Dinopium psarodes  ,red,Mantle,0.3,1.9,8.9,0,7.4,0,48.5,0,22.4,2.703228316,0,7.08231016,0,0.9,0,0,0,5.3,63.8,138.2,25.5,21.2,1.614741346,1.858615325,0.325032283
UC27RR01,Dinopium psarodes  ,red,Mantle,0.3,1.5,20.8,0,3.5,0,65.7,0,8.2,1.882175795,0,6.82173913,0,1,0,0,0,5.3,29.1,233.5,74.1,12.6,1.841897233,1.76359872,0.135821758
UC29RR01,Dinopium psarodes  ,red,Crown,0.1,0.7,8.3,0,2,0,86.2,0,2.7,2.736759205,0,11.4536,0,0.5,0,0,0,3,11,350.7,33.6,8.2,1.896830085,1.904311872,0.074367592
UC29RR01,Dinopium psarodes  ,red,Mantle,0.3,2.2,11.2,0,6.2,0,67.2,0,12.9,1.713515595,0,4.12585263,0,0.8,0,0,0,5.1,30.4,159.1,26.5,14.7,1.771659607,1.844050828,0.208135156
UE07RR05,Dinopium psarodes  ,red,Crown,0.1,0.3,3.9,0,4.4,0,85.6,0,5.7,0.773502578,0,3.64881356,0,0.4,0,0,0,1.6,26.7,400.5,18.2,20.8,1.882387941,1.953986513,0.108735026
UE07RR05,Dinopium psarodes  ,red,Mantle,0.6,2.3,8.1,0,17,0,46,0,16.8,9.301835056,0,11.70202817,0,0.7,0,0,0,2.9,21.1,57.8,10.2,21.3,1.465513605,1.866272938,0.431018351
UC20RR04-1,Dinopium hybrid ,orange,Mantle,1.3,2,3.2,1.1,9.1,1.5,4.6,3.5,19,4.670957027,11.1,11.29655172,27,3,8.4,3.5,2.7,4.9,46.2,11.1,7.8,22.2,0.478453039,1.914732965,0.37970957
UC20RR04-2,Dinopium hybrid ,orange,Mantle,8.5,2.8,1.3,1,4.6,1,0,22.8,5.8,2.62605042,9.2,14.725,23,21.3,56.9,2.5,2.6,7,14.5,0,3.4,11.4,0.186833739,1.845146811,0.170260504
UC20RR04-3,Dinopium hybrid ,orange,Mantle,11,1.8,0.7,1.3,1.9,1.3,0,20.5,3.6,3.06122449,8.9,20.82029268,15.2,18.8,34.9,2.2,2.3,3.1,6.1,0,1.3,3.2,0.106019417,1.845242718,0.137612245
UC20RR08,Dinopium hybrid ,orange,Mantle,3.6,2.9,1,0.4,6.5,0.6,0,23.3,10.9,43,7.8,153.3,27.9,13,83,2.2,1.5,10.5,39,0,3.5,23,0.252102282,1.895143298,0.624
UC29RR04,Dinopium hybrid ,orange,Mantle,1,1.5,2.7,1.3,10,1.8,5.3,3.4,18.7,42.3,11.8,192.7,53.8,4.7,15.5,8.4,6.1,7.1,85.4,24.4,12.2,45.6,0.478942398,1.931822474,0.772
UC30RR01-1,Dinopium hybrid ,orange,Mantle,1.4,1.1,1.5,1.5,13.8,1.3,0,14.4,11.8,46.9,6.4,205.3,28,6.2,62.8,5.6,6.7,4.6,51.4,0,6.4,60.5,0.306296498,1.9500998,0.781
UC30RR01-2,Dinopium hybrid ,orange,Mantle,1.7,2.1,2.1,1.7,16,1.5,0,13.3,13.2,40.8,7.6,93.9,17.4,4,30.7,3.4,4,4.8,30.3,0,4.8,36.9,0.375134747,1.920050305,0.764
UD23RR01-1,Dinopium hybrid ,orange,Mantle,5.1,0.8,0,7.3,3.5,4.2,0,34.5,4.2,34.4,6,110.3,19.1,16.5,110.6,13.4,23.3,2.6,13.5,0,0,11.3,0.093590677,1.932265113,0.651
UD23RR01-2,Dinopium hybrid ,orange,Mantle,5.8,0.9,0,7.2,3.8,4.8,0,36,4,30.9,6.5,32.1,6.8,6,37.4,5,7.5,1,4.1,0,0,3.9,0.096285611,1.923007573,0.627
UE07RR01-1,Dinopium hybrid ,orange,Mantle,4.4,3.1,1.1,0.5,7.1,0.7,0,22.2,12.1,40.7,8,93.1,18.3,10.1,50.7,1.7,1.2,7.1,27.7,0,2.6,16.2,0.276546982,1.882352941,0.623
UE07RR01-2,Dinopium hybrid ,orange,Mantle,2.6,1.2,0.5,0.5,6.2,0.6,0,19.7,10.1,49.4,9.1,137.8,25.4,7.3,54.8,1.8,1.3,3.3,28.2,0,1.5,17.4,0.19829463,1.944484761,0.679
UE07RR03,Dinopium hybrid ,orange,Mantle,1.6,1,0.6,0.8,7,0.7,0,23,14.5,41.5,9.3,84.2,18.9,3.2,46.6,1.4,1.5,2,29.3,0,1.2,14.3,0.246911547,1.958491188,0.66
UC20RR08,Dinopium hybrid ,red,Crown,0.2,0.7,5.2,0,5.5,0,81.3,0,7.2,1.048100318,0,6.83046575,0,1.5,0,0,0,4.5,46.2,524,33.4,35.3,1.84952274,1.932622122,0.137481003
UC28RR02,Dinopium hybrid ,red,Mantle,1.2,2,25.9,0,10.7,0,31.8,0,18,6.857994782,0,17.05156204,0,3.1,0,0,0,5.3,46.6,82,67,27.7,1.539321655,1.675736116,0.355579948
UC29RR04,Dinopium hybrid ,red,Crown,0.1,0.5,5.8,0,7.2,0,77.2,0,9.3,1.264866906,0,0,0,0,0,0,0,0,0,0,0,0,1.810081178,1.931470644,0.177648669
UE07RR03,Dinopium hybrid ,red,Crown,0.1,0.3,4.3,0,3.6,0,87.3,0,4.4,1.36484009,0,6.47323077,0,0.5,0,0,0,1.3,20.6,408.4,20.2,16.9,1.891627623,1.951110206,0.093648401